鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
豐原區,房地(土地+建物)+車位,臺中市豐原區豐勢路一段331~360號,14.07,住,,,1081212,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080818,98.02000000000001,2,2,1,有,有,6300000,64273,坡道機械,18.39,0,,RPQNMLKMJHPFFDB57CA
豐原區,房地(土地+建物),臺中市豐原區西安街92巷1~30號,85.0,住,,,1081223,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600710,86.03,3,3,3,有,無,4000000,46495,,0.0,0,,RPSNMLKMJHPFFDB77CA
豐原區,土地,育仁段511~540地號,29.64,住,,,1090108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1573884,53100,,0.0,0,受債權債務影響或債務抵償之交易。;,RPPNMLLMJHPFFDB57CA
神岡區,房地(土地+建物),臺中市神岡區社口街61~90號,90.37,住,,,1081024,土地1建物1車位0,一層，二層，騎樓，見其他登記事項,二層,店面(店鋪),商業用,加強磚造,0701118,126.85,4,2,2,有,無,7000000,55183,,0.0,0,一等親買賣,RPTOMLNJKHPFFDB08CA
神岡區,土地,十五庄段421~450地號,168.72,住,,,1081226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17168000,101754,,0.0,0,含增建或未登記建物。;,RPVOMLNJKHPFFDB28CA
后里區,土地,文化段181~210地號,43.61,住,,,1081223,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2050000,47008,,0.0,0,含增建或未登記建物。;共有人兼親屬間交易行為。,RPXNMLRJKHPFFDB78CA
豐原區,房地(土地+建物)+車位,臺中市豐原區豐北街331~360號,21.74,住,,,1081221,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,105.39,3,2,2,有,有,5000000,47443,坡道機械,0.0,0,,RPWNMLLKKHPFFDB18CA
豐原區,房地(土地+建物)+車位,臺中市豐原區中正路695巷1~30號,10.71,住,,,1081223,土地1建物2車位1,十五層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820208,106.30000000000001,3,1,2,有,有,3500000,32926,升降機械,0.0,0,,RPPOMLNKKHPFFDB77CA
豐原區,土地,豐年段241~270地號,73.33,其他,,,1081230,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,2727,,0.0,0,包含公共設施保留地之交易。;,RPWNMLPKKHPFFDB58CA
大甲區,土地,義水段691~720地號,11.35,工,,,1090103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1017982,89690,,0.0,0,向政府機關承購之案件。;,RPPNMLKMJHPFFEB57CA
大安區,土地,龜段61~90地號,996.75,,特定農業區,農牧用地,1090103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1794150,1800,,0.0,0,,RPRNMLNJKHPFFEB87CA
大安區,土地,安地段781~810地號,200.0,,特定農業區,農牧用地,1081212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,4000,,0.0,0,1.親友、員工或其他特殊關係間之交易。2.含增建及未登記建物。,RPPNMLKKKHPFFEB47CA
